,location,lat,lon,id,species,datePlanted,height,DBH,canopy,canopy area [m^2],,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46919E+16,1.01243E+17,548,Persea americana,Feb-22,0.50,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46915E+16,1.01243E+17,516,Persea americana,Feb-22,0.60,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.4692E+16,1.01243E+17,557,Persea americana,Feb-22,0.60,2,0.17,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.4692E+16,1.01243E+17,561,Persea americana,Feb-22,0.60,2,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46921E+16,1.01243E+17,563,Persea americana,Feb-22,0.60,1,0.25,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46915E+16,1.01244E+17,707,Persea americana,Nov-21,0.60,1,0.10,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,570,003","101,372,482",1173,Persea americana,Dec-21,0.65,2,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+16,1.01244E+17,502,Persea americana,Feb-22,0.70,2,0.10,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46916E+16,1.01243E+17,531,Persea americana,Feb-22,0.70,4,0.25,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.4692E+15,1.01243E+17,558,Persea americana,Feb-22,0.70,3,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46921E+16,1.01243E+17,565,Persea americana,Feb-22,0.70,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46921E+16,1.01244E+17,568,Persea americana,Feb-22,0.70,2,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01244E+16,683,Persea americana,Nov-21,0.70,2,0.15,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,571,001","101,372,452",1172,Persea americana,Dec-21,0.70,3,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46912E+16,1.01243E+17,493,Persea americana,Feb-22,0.80,2,0.13,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01243E+17,498,Persea americana,Feb-22,0.80,2,0.10,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01244E+17,499,Persea americana,Feb-22,0.80,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+16,1.01243E+17,505,Persea americana,Feb-22,0.80,2,0.12,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46917E+15,1.01243E+17,535,Persea americana,Feb-22,0.80,2,0.25,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46917E+16,1.01243E+17,538,Persea americana,Feb-22,0.80,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46919E+16,1.01243E+17,549,Persea americana,Feb-22,0.80,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46921E+16,1.01243E+17,564,Persea americana,Feb-22,0.80,2,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01244E+17,685,Persea americana,Nov-21,0.80,2,0.14,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46917E+16,1.01244E+17,689,Persea americana,Nov-21,0.80,1,0.12,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,562,996","101,372,451",1171,Persea americana,Dec-21,0.80,3,0.25,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01243E+17,496,Persea americana,Feb-22,0.90,2,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+15,1.01243E+17,511,Persea americana,Feb-22,0.90,3,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46915E+16,1.01243E+17,514,Persea americana,Feb-22,0.90,4,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46915E+16,1.01243E+17,520,Persea americana,Feb-22,0.90,3,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01244E+17,542,Persea americana,Feb-22,0.90,3,0.17,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01243E+17,544,Persea americana,Feb-22,0.90,3,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.4692E+16,1.01243E+17,556,Persea americana,Feb-22,0.90,2,0.17,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.4692E+16,1.01243E+17,560,Persea americana,Feb-22,0.90,4,0.40,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01244E+17,684,Persea americana,Nov-21,0.90,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46916E+16,1.01244E+17,693,Persea americana,Nov-21,0.90,2,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01244E+17,716,Persea americana,Nov-21,0.90,4,0.25,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01243E+17,509,Persea americana,Feb-22,1.00,3,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01243E+17,546,Persea americana,Feb-22,1.00,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46919E+16,1.01244E+17,677,Persea americana,Nov-21,1.00,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01244E+16,679,Persea americana,Nov-21,1.00,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+15,1.01244E+17,708,Persea americana,Nov-21,1.00,3,0.25,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,561,504","101,372,495",1170,Persea americana,Dec-21,1.00,3,0.20,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47427E+16,1.01733E+17,54,Persea americana,Oct-21,1.10,6,0.45,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01734E+17,48,Persea americana,Oct-21,1.20,7,0.50,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01244E+17,719,Persea americana,Nov-21,1.20,3,0.25,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,534,799","101,372,612",1167,Persea americana,Dec-21,1.20,3,0.15,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,559,903","101,372,545",1169,Persea americana,Dec-21,1.20,4,0.25,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47427E+15,1.01733E+17,55,Persea americana,Oct-21,1.30,10,0.40,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+16,1.01244E+17,709,Persea americana,Nov-21,1.30,10,0.30,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+15,1.01244E+17,722,Persea americana,Nov-21,1.30,3,0.30,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47427E+16,1.01733E+17,53,Persea americana,Oct-21,1.40,15,0.85,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01244E+17,717,Persea americana,Nov-21,1.40,4,0.25,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,516,703","101,373,703",1130,Persea americana,Aug-21,1.50,6,0.40,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01734E+17,45,Persea americana,Oct-21,1.60,10,0.80,,,,,,,,,,How many trees per species?,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+15,1.01734E+17,46,Persea americana,Oct-21,1.60,10,0.80,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01734E+16,47,Persea americana,Oct-21,1.60,9,0.55,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,526,401","101,373,263",1137,Persea americana,Nov-21,1.60,4,0.25,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47427E+15,1.01733E+16,51,Persea americana,Oct-21,1.80,50,0.85,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47427E+16,1.01734E+17,50,Persea americana,Oct-21,2.20,56,1.25,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,525,001","101,373,528",1129,Persea americana,Aug-21,2.20,6,0.45,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,545,998","101,372,803",1178,Persea americana,Jan-20,2.30,7,0.40,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01733E+17,41,Persea americana,Oct-21,2.40,28,1.20,,,,,,,,,,337,,Bungteoi Moosi Pak Chong sub-district
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,529,804","101,373,429",1128,Persea americana,Aug-21,2.40,6,0.60,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47429E+16,1.01734E+17,38,Persea americana,Oct-21,2.50,31,1.10,,,,,,,,,,49,,"37 moo 3 Ban pongpratoon Pak Chong sub-district, Pak Chong"
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,530,801","101,373,305",1132,Persea americana,Aug-21,2.50,8.5,0.65,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01733E+16,44,Persea americana,Oct-21,2.60,20,1.20,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01733E+17,42,Persea americana,Oct-21,2.70,26,1.20,,,,,,,,,,164,,Bungteoi Moosi Pak Chong sub-district (Brother)
,176 Moo 9 Makluagao sub-district Soongnern,1.47427E+16,1.01734E+17,49,Persea americana,Oct-21,2.70,18,1.05,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,534,204","101,373,312",1125,Persea americana,Aug-21,2.70,12,0.80,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,524,297","101,373,326",1133,Persea americana,Aug-21,2.70,26,1.05,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01733E+17,40,Persea americana,Oct-21,2.80,26,1.05,,,,,,,,,,61,,"70/1 moo 1 Glangdong sub-district, Pak Chong"
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,531,799","101,373,387",1127,Persea americana,Aug-21,2.80,9.5,0.75,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,529,502","101,373,336",1131,Persea americana,Aug-21,2.80,10.5,0.65,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47427E+16,1.01733E+17,52,Persea americana,Oct-21,2.90,32,1.05,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,528,496","101,372,817",1166,Persea americana,Dec-21,2.90,24,1.05,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01733E+17,39,Persea americana,Oct-21,3.00,21,1.05,,,,,,,,,,58,,"51 Moore Pak Chong sub-district, Pak Chong"
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,532","101,373,352",1126,Persea americana,Aug-21,3.00,12,0.80,,,,,,,,,,,,
,176 Moo 9 Makluagao sub-district Soongnern,1.47428E+16,1.01733E+17,43,Persea americana,Oct-21,3.40,17,0.85,,,,,,,,,,419,,4 m 1 Khaodin sub-district Gaoleaw Nakornsawan
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,566,097","101,372,479",1174,Persea americana,Jan-20,3.50,33,1.05,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,538,504","101,372,522",1176,Persea americana,Jan-20,3.50,17,1.40,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","14,685,665","101,372,588",1175,Persea americana,Jan-20,3.60,16,1.15,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,494,298","101,373,487",1139,Persea americana,May-21,3.70,31,1.15,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,545,704","101,372,885",1179,Persea americana,Jan-20,4.20,70,1.55,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,542,402","101,372,976",1180,Persea americana,Jan-20,4.20,16,1.50,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,506,603","101,373,284",1134,Persea americana,Aug-21,4.30,19,1.40,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,544,497","10,137,271",1177,Persea americana,Jan-20,4.30,12,1.05,,,,,,,,,,,,
,Bungteoi Moosi Pak Chong sub-district (Brother),1.45435E+15,1.01471E+15,1862,Persea americana,Feb-18,4.90,100,2.30,,,,,,,,,,,,
,Bungteoi Moosi Pak Chong sub-district (Brother),1.45435E+16,1.01471E+16,1863,Persea americana,Feb-18,4.90,100,2.30,,,,,,,,,,,,